DETTE PUBLIQUE,Encours de la dette extérieure publique (En millions DH)
1998,"179,380"
1999,"177,538"
2000,"170,899"
2001,"163,109"
2002,"142,317"
2003,"126,024"
2004,"115,310"
2005,"115,871"
2006,"115,927"
2007,"122,043"
2008,"133,557"
2009,"152,267"
2010,"173,744"
